cell_id,recipe_id,partition,discharge_specific_capacity_cycle30_mah_g,cell_capacity_mah,active_mass_mg,electrode_thickness_um,porosity_pct,coating_speed_m_per_min,coating_gap_um,drying_temperature_c,calendering_applied,active_material_fraction_pct,binder_cmc_fraction_pct,binder_sbr_fraction_pct,conductive_additive_fraction_pct,mixing_solids_pct
ASC-72,protocol-24f5e9663c2b,PROSPECTIVE_MODEL_VALIDATION,100.67138245647207,6.8143932576145625,18.318261445200438,75.5,24.15,0.2,200.0,80.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-79,protocol-23509c88f8bf,PROSPECTIVE_MODEL_VALIDATION,66.11585217740758,7.281908803355272,19.575023664933525,127.0,54.11,0.4,200.0,80.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-80,protocol-23509c88f8bf,PROSPECTIVE_MODEL_VALIDATION,36.44166135962476,7.257116312293265,19.508377183584045,126.0,53.84,0.4,200.0,80.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-81,protocol-23509c88f8bf,PROSPECTIVE_MODEL_VALIDATION,233.12655344306143,6.83210217980171,18.36586607473578,121.0,55.01,0.4,200.0,80.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-91,protocol-97cf6d7c9463,PROSPECTIVE_MODEL_VALIDATION,202.6933578018505,6.385837340685581,17.16622941044511,75.0,27.94,0.4,200.0,80.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-92,protocol-97cf6d7c9463,PROSPECTIVE_MODEL_VALIDATION,21.401757147437305,7.271283450042983,19.54646088721232,82.0,25.98,0.4,200.0,80.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-93,protocol-97cf6d7c9463,PROSPECTIVE_MODEL_VALIDATION,,7.1296120725457985,19.165623850929567,80.0,25.61,0.4,200.0,80.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-85,protocol-13e1eec891e3,PROSPECTIVE_MODEL_VALIDATION,,7.179197054669815,19.298916813628534,124.0,53.67,0.4,200.0,90.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-86,protocol-13e1eec891e3,PROSPECTIVE_MODEL_VALIDATION,,7.232323821231257,19.441730702234562,126.0,54.23,0.4,200.0,90.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-87,protocol-13e1eec891e3,PROSPECTIVE_MODEL_VALIDATION,93.1033733298965,6.502716227120758,17.48041996537838,114.0,54.03,0.4,200.0,90.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-88,protocol-c005aa958750,PROSPECTIVE_MODEL_VALIDATION,45.16962388058798,6.325627005249277,17.00437367002494,72.0,25.92,0.4,200.0,90.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-89,protocol-c005aa958750,PROSPECTIVE_MODEL_VALIDATION,41.73989524267732,6.902937868550304,18.556284592877162,74.0,21.01,0.4,200.0,90.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-90,protocol-c005aa958750,PROSPECTIVE_MODEL_VALIDATION,37.69972392461028,6.938355712924601,18.65149385194785,77.0,23.89,0.4,200.0,90.0,1.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
ASC-82,protocol-95a0b3eea94d,PROSPECTIVE_MODEL_VALIDATION,77.18688123884104,7.012733186110623,18.851433295996298,124.0,54.84,0.4,200.0,100.0,0.0,95.20925907068835,1.5090489025054978,2.275388913546235,1.0063031132599178,49.5
