Library,Area,i_lim [A/cm^2],k^0 [cm/s],alpha [a.u.]
Au-rich,90,7.222535675606533,0.0128478928962437,0.3094242267960465
Au-rich,19,7.30663546629692,0.0114915071759818,0.3032663652384006
Au-rich,200,7.326993056772102,0.0102027867681456,0.3009677444386482
Au-rich,137,7.261242009126905,0.0110955236011449,0.2971886731251839
Au-rich,271,7.095400847793667,0.0132070328295225,0.3110140763376646
Au-rich,319,7.040977884343724,0.012318205932267,0.3138754866129723
Au-rich,341,7.202235640200378,0.0105747132617756,0.317766864610277
Au-rich,336,7.309196410976401,0.0085908278196953,0.318347104895819
Au-rich,204,7.089526213609662,0.0118943366173486,0.3090367904916677
Au-rich,51,7.336619285885128,0.0123562025654381,0.3117250602779954
Au-rich,257,7.186147894527774,0.011989581716385,0.3133786527512028
Au-rich,177,7.206461952273592,0.010018632831883,0.3177334228214247
Au-rich,63,7.180241128482654,0.0107922338368863,0.306715567881817
Au-rich,168,7.20475192049917,0.0134978519795149,0.3139438530060856
Au-rich,241,7.43372348742116,0.0094438998999272,0.3186064782932796
Au-rich,153,7.1587815046597605,0.0118969480892995,0.3173599160163186
Au-rich,78,7.254384839620518,0.0099011975739969,0.2947587311813235
Au-rich,13,7.318108309046248,0.0069406476277709,0.3042775954034119
Au-rich,161,7.364277552489488,0.0123466224307101,0.3032630679386692
Au-rich,221,7.533222288889387,0.0091985620770555,0.2972441239416544
Au-rich,226,7.334157268536741,0.0125225479480638,0.3024619468269203
Au-rich,212,7.20111382378364,0.0128620317805989,0.3125100464505749
Au-rich,309,7.234689206856215,0.0104021645086171,0.3101334681404371
Au-rich,74,7.1825984216889065,0.0116810894352987,0.320613823241148
Au-rich,86,7.311939302057274,0.0129231019324814,0.3106455544055471
Au-rich,186,7.237894902250543,0.0123433301474584,0.3045768493172106
Au-rich,263,7.292524551483046,0.0107123181707945,0.3061900091963466
Au-rich,317,7.111174585875049,0.0110204389385949,0.3103954605404661
Au-rich,143,7.294056571225124,0.0128592872483715,0.3060898477922928
Au-rich,17,7.364632765905036,0.0095489164412648,0.309872119907563
Au-rich,135,7.22187064878102,0.0118132289112228,0.3197115974950537
Au-rich,219,7.254706170799751,0.0113876175973285,0.3189391875509251
Au-rich,210,7.192094430348716,0.0129647012601406,0.3106194635361913
Au-rich,151,7.300668988877096,0.0122024160436973,0.315697763808143
Au-rich,104,7.3066705883321665,0.0115972594005781,0.3096748259123473
Au-rich,44,7.249634252563962,0.009588406768019,0.3042072535189821
Au-rich,283,7.2566066541292225,0.0106225005517259,0.310847937990562
Au-rich,302,7.189995311840946,0.0115922283915803,0.3110151489510233
Au-rich,277,7.28854068308547,0.0106346250567625,0.3119019562828638
Au-rich,334,7.183201059856164,0.0112872913624302,0.3116090151002644
Au-rich,234,7.12305530680156,0.0117479962171418,0.318927998142211
Au-rich,98,7.212950703440664,0.0107211589691719,0.3010584344399893
Au-rich,109,7.255301715078677,0.0120929687992632,0.3202739293550212
Au-rich,196,7.235542998612805,0.0117790267168971,0.3198134815487953
Au-rich,275,7.153808997945033,0.0114221610756655,0.3150908872614487
