step,strategy,best_seen,simple_regret,hit_top_10_pct,hit_top_5_pct,queried_protocol_id,seed
15,random,849.7406688000001,0.0,1,1,Periodic_C_Co2,7
0,greedy,849.7406688000001,0.0,1,1,,7
1,greedy,849.7406688000001,0.0,1,1,Periodic_C_Co2,7
2,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co5,7
3,greedy,849.7406688000001,0.0,1,1,Periodic_A_Co2,7
4,greedy,849.7406688000001,0.0,1,1,Periodic_B_Co2,7
5,greedy,849.7406688000001,0.0,1,1,Periodic_D_Co2,7
6,greedy,849.7406688000001,0.0,1,1,Synthetic_2b_Co2,7
7,greedy,849.7406688000001,0.0,1,1,Synthetic_2c_Co2,7
8,greedy,849.7406688000001,0.0,1,1,Periodic_D_Co5,7
9,greedy,849.7406688000001,0.0,1,1,Synthetic_2a_Co10,7
10,greedy,849.7406688000001,0.0,1,1,Synthetic_3_Co5,7
11,greedy,849.7406688000001,0.0,1,1,Synthetic_1a_Co5,7
12,greedy,849.7406688000001,0.0,1,1,Synthetic_1b_Co10,7
13,greedy,849.7406688000001,0.0,1,1,Synthetic_2c_Co5,7
14,greedy,849.7406688000001,0.0,1,1,Periodic_E_Co2,7
15,greedy,849.7406688000001,0.0,1,1,Synthetic_1b_Co16,7
0,gp_ucb,849.7406688000001,0.0,1,1,,7
